Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Cases_28_Days,Deaths_28_Days
Togo,2023-02-22 00:20:57,8.6195,0.8248,39366,290,,,475.5073147027137,,,0.7366763196667174,768,TGO,13,0
Tonga,2023-02-22 00:20:57,-21.179,-175.1982,16801,13,,,15895.436956583442,,,0.0773763466460329,776,TON,211,0
Trinidad and Tobago,2023-02-22 00:20:57,10.6918,-61.2225,188511,4336,,,13469.968724343353,,,2.30013102683663,780,TTO,1307,27
Tunisia,2023-02-22 00:20:57,33.886917,9.537499,1150606,29326,,,9735.53760685048,,,2.5487438793122927,788,TUN,389,35
Turkey,2023-01-30 23:20:55,38.9637,35.2433,17042722,101492,,,20207.38740209208,,,0.5955151999780317,792,TUR,0,0
Tuvalu,2023-02-22 00:20:57,-7.1095,177.6493,2805,0,,,23787.31343283582,,,0.0,798,TUV,0,0
US,2023-02-22 00:20:57,40.0,-100.0,103168534,1117820,,,31313.8367485088,,,1.0834892739679716,840,USA,1094080,13015
Uganda,2023-02-22 00:20:57,1.373333,32.290275,170478,3630,,,372.7028267855972,,,2.129307007355788,800,UGA,199,0
Ukraine,2023-02-22 00:20:57,48.3794,31.1656,5693215,119143,,,13017.89539746629,,,2.0927191402397414,804,UKR,17210,219
United Arab Emirates,2023-02-22 00:20:57,23.424076,53.847818,1051241,2349,,,10628.902774407508,,,0.2234501888720093,784,ARE,2384,1
United Kingdom,2023-02-22 00:20:57,55.0,-3.0,24574817,219177,,,36200.12307691583,,,0.8918764278081908,826,GBR,82793,8
Uruguay,2023-02-22 00:20:57,-32.5228,-55.7658,1034046,7617,,,29767.6242260834,,,0.7366210013867855,858,URY,2465,16
Uzbekistan,2023-02-22 00:20:57,41.377491,64.585262,250873,1637,,,749.5638004363356,,,0.6525213952876555,860,UZB,445,0
Vanuatu,2023-02-22 00:20:57,-15.3767,166.9592,12014,14,,,4104.824381577149,,,0.1165307141668054,548,VUT,0,0
Venezuela,2023-02-22 00:20:57,6.4238,-66.5897,551928,5852,,,1940.9519846062428,,,1.060283225348234,862,VEN,616,12
Vietnam,2023-02-22 00:20:57,14.058324,108.277199,11526834,43186,,,11841.99897382932,,,0.3746562152278761,704,VNM,493,0
West Bank and Gaza,2023-02-22 00:20:57,31.9522,35.2332,703228,5708,,,13784.956960969268,,,0.8116855415313383,275,PSE,0,0
Winter Olympics 2022,2023-02-22 00:20:57,39.9042,116.4074,535,0,,,,,,0.0,2022,,0,0
Yemen,2023-02-22 00:20:57,15.552727,48.516388,11945,2159,,,40.04899354817252,,,18.07450816241105,887,YEM,0,0
Zambia,2023-02-22 00:20:57,-13.133897,27.849332,342724,4054,,,1864.2559849468744,,,1.1828760168532113,894,ZMB,3738,15
Zimbabwe,2023-02-22 00:20:57,-19.015438,29.154857,263642,5662,,,1773.822881589878,,,2.1476092580089667,716,ZWE,3661,25
